DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,SD,SD KE BAWAH,SLTA,SLTP,SMA,SMA (KEJURUAN),SMA (UMUM),SMP,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD
79075,142875,111788,43157,51548,342707,79316,144841,321248,30260
45386,104191,102786,21458,17508,179879,42196,66956,158909,21091
139552,121736,92982,46710,24957,505276,258674,169800,254847,49869
159481,339040,348723,93730,38379,713061,289436,207350,508317,110746
23808,68821,43020,15189,17695,104679,29548,17362,92949,1667
31295,298144,178589,19675,27178,211665,57359,62214,317382,46911
30990,176736,130372,26972,27572,295208,95539,68810,250134,120934
25433,106729,109203,36367,28330,240812,37130,92995,239210,21824
18388,136137,100183,29798,15042,173989,62939,46571,137998,63433
36764,137167,118370,21925,28414,367509,129868,95446,255804,53697
30464,74436,68202,13417,14384,109434,39353,28513,97084,10372
14599,66795,36061,18587,13039,78387,22871,20440,83003,13830
5019,6150,3876,0,0,17821,7541,4828,14463,1628
18102,62474,49100,13340,9161,126414,39133,26422,75162,27797
26344,93222,72585,12984,29736,178549,56326,47657,183044,30897
28966,218614,120912,35401,28191,187094,61238,85734,282705,41829
28931,58792,39031,19961,10249,124940,51741,37649,113456,9500
16580,109330,65407,25921,20417,132857,44476,29922,157038,9858
224087,80289,61813,72268,21250,352739,98595,156324,204264,28193
3338,6033,3177,3983,1075,20344,6802,3968,11889,2103
308692,36762,38791,80971,23438,493811,141513,112313,153553,15456
48389,54194,38340,27064,11132,165229,66699,48125,79616,17011
48073,21756,10339,14435,6238,88755,34286,27621,54634,6665
15996,17147,9612,8595,3390,46773,9689,13473,28884,12869
137527,46814,40743,54499,18317,318215,128152,79430,97721,21888
11547,13875,9984,5691,3507,55210,14971,15000,23260,2361
33898,32074,21462,14541,3944,58772,22692,17430,31000,4648
